,Title,Rating,Release Date,Runtime,Genres
4775,Babe,6.2,7/18/1995,91,"Fantasy, Drama, Comedy, Family"
4776,Playing Doctor,5.9,8/1/2014,95,"Romance, Comedy"
4777,A Shoe Addict's Christmas,6.3,11/25/2018,90,"Romance, Drama, TV Movie, Fantasy"
4778,Lara Croft: Tomb Raider,5.9,6/11/2001,100,"Adventure, Fantasy, Action, Thriller"
4779,GirlHouse,6.0,10/16/2014,100,"Horror, Thriller"
4780,The Little Rascals Save the Day,6.0,3/25/2014,93,Comedy
4781,Coffee & Kareem,5.5,4/3/2020,88,"Comedy, Action, Crime"
4782,The Return of the King,6.4,5/11/1980,98,"Animation, Fantasy, Adventure"
4783,Seth Meyers: Lobby Baby,6.9,11/5/2019,61,Comedy
4784,Destroy All Monsters,6.8,8/1/1968,89,"Action, Science Fiction, Horror"
4785,Johnny Be Good,4.5,3/22/1988,91,Comedy
4786,Jauja,6.6,11/27/2014,108,"Western, Drama"
4787,Greed,7.4,12/4/1924,140,"Drama, Crime"
4788,The Groomsmen,5.3,6/9/2006,98,"Comedy, Romance, Drama"
4789,Sense and Sensibility,7.4,12/13/1995,136,"Drama, Romance"
4790,Three,5.9,7/9/2002,129,"Horror, Mystery"
4791,Rookie of the Year,6.1,7/7/1993,103,"Family, Comedy"
4792,Hogfather,6.9,10/12/2007,185,"Fantasy, TV Movie"
4793,End of Watch,7.3,9/20/2012,109,"Crime, Drama, Thriller"
4794,The Amusement Park,6.2,6/2/2021,54,Horror
4795,Heart Condition,5.5,2/2/1990,100,"Comedy, Crime, Drama, Fantasy"
4796,Do the Right Thing,7.8,6/14/1989,120,Drama
4797,La Vie de Bohème,7.6,2/27/1992,103,"Drama, Comedy, Romance"
4798,Mad Love,6.1,9/28/2001,115,"Drama, History, Romance"
4799,Twins of Evil,6.7,10/3/1971,87,Horror
4800,Ballermann 6,5.1,10/16/1997,95,Comedy
4801,Reno 911!: Miami,5.7,2/23/2007,84,"Action, Comedy, Crime"
4802,Fukrey,6.6,6/14/2013,137,"Comedy, Drama, Romance"
4803,Dragon Ball Z: Cooler's Revenge,6.9,7/20/1991,48,"Action, Animation, Science Fiction"
4804,The Fugitive Kind,7.0,4/14/1960,119,"Romance, Drama"
4805,Is Paris Burning?,7.2,10/26/1966,173,"War, Drama, History"
4806,Into the Night,6.5,2/22/1985,115,"Thriller, Comedy"
4807,S.O.B.,5.9,7/1/1981,121,Comedy
4808,The Fifth Wheel,6.5,11/14/2013,113,"Comedy, Drama, History"
4809,Midnight FM,7.0,10/14/2010,106,"Thriller, Crime, Action"
4810,The Girl by the Lake,6.4,9/14/2007,95,"Mystery, Thriller"
4811,Accident,5.2,12/1/2017,95,"Thriller, Action"
4812,Dick Tracy,6.1,4/5/1990,105,"Adventure, Comedy, Crime"
4813,Three Many Weddings,6.1,12/5/2013,94,Comedy
4814,Dead End Drive-In,5.5,8/13/1986,87,"Horror, Science Fiction, Action"
4815,The Case of the Scorpion's Tail,6.4,8/16/1971,96,"Mystery, Thriller"
4816,Gangsterdam,5.3,3/29/2017,100,"Action, Comedy"
4817,The (Silent) War,5.8,9/13/2019,123,"Drama, Thriller, War"
4818,Strawberry and Chocolate,7.1,12/1/1993,108,"Comedy, Drama"
4819,SlugTerra: Return of the Elementals,6.9,8/2/2014,63,"Family, Animation, Adventure"
4820,The Next Karate Kid,5.3,7/18/1994,107,"Action, Drama, Family, Adventure"
4821,Jarhead 2: Field of Fire,6.4,8/14/2014,103,"War, Action"
4822,Lux Æterna,6.2,9/23/2020,51,Drama
4823,Star Trek V: The Final Frontier,5.7,6/9/1989,106,"Science Fiction, Action, Adventure, Thriller"
4824,"Django Kill... If You Live, Shoot!",6.0,5/3/1967,100,"Action, Western, Thriller"
4825,The Cat Concerto,7.5,4/26/1947,8,"Animation, Comedy, Family, Action, Music"
4826,Star Wars Rebels: The Siege of Lothal,7.7,4/18/2015,44,"Adventure, Animation, Science Fiction, Action"
4827,Bordello of Blood,5.9,8/16/1996,87,"Horror, Comedy"
4828,Avalon High,6.2,1/28/2011,91,"Fantasy, Family, Drama, TV Movie"
4829,Sea Fever,6.2,6/12/2020,95,"Science Fiction, Horror, Drama, Mystery"
4830,Sand Castle,6.5,4/21/2017,113,"War, Action, Drama"
4831,Josephine,5.9,6/19/2013,88,"Romance, Comedy"
4832,Timber Falls,5.1,12/7/2007,97,"Horror, Thriller"
4833,All About Actresses,6.0,1/28/2009,105,"Comedy, Drama"
4834,The Ice Age Adventures of Buck Wild,6.7,1/28/2022,82,"Animation, Comedy, Adventure, Family"
4835,Shakma,4.9,10/5/1990,101,"Horror, Science Fiction"
4836,George Harrison: Living in the Material World,7.7,10/5/2011,208,"Music, Documentary"
4837,The Fourth Kind,6.3,11/6/2009,98,"Mystery, Science Fiction, Thriller"
4838,The Return of Jafar,6.2,5/20/1994,69,"Family, Adventure, Animation, Romance"
4839,Property Is No Longer a Theft,7.1,10/3/1973,121,"Comedy, Thriller"
4840,if....,7.1,12/19/1968,112,Drama
4841,End of Days,6.0,11/24/1999,121,"Action, Fantasy, Horror, Mystery"
4842,Scooby-Doo! Pirates Ahoy!,7.6,9/19/2006,71,"Fantasy, Animation, Comedy, Family, Mystery, Adventure"
4843,I Am a Fugitive from a Chain Gang,7.8,11/9/1932,92,"Crime, Drama"
4844,Winnie the Pooh and the Honey Tree,7.7,2/4/1966,25,"Family, Animation"
4845,Cabiria,7.2,6/1/1914,148,"Drama, History"
4846,Captain America,4.5,12/14/1990,97,"Action, Adventure, Science Fiction, War"
4847,Beyond Outrage,7.0,9/3/2012,110,"Action, Crime"
4848,Law Abiding Citizen,7.4,10/15/2009,109,"Drama, Crime, Thriller"
4849,Love Beats Rhymes,5.7,12/1/2017,105,"Music, Drama"
4850,Hercules Reborn,4.2,7/8/2014,90,"Adventure, Action"
4851,Against the Dark,4.0,2/17/2009,94,"Horror, Action, Thriller, Science Fiction"
4852,Louder Than Bombs,6.5,10/1/2015,105,Drama
4853,Headhunters,7.2,8/26/2011,100,"Thriller, Crime, Action"
4854,The Vanishing,5.7,1/4/2019,108,"Thriller, Mystery"
4855,Pooh's Heffalump Movie,6.8,2/11/2005,68,"Family, Animation, Comedy, Fantasy"
4856,"A Genius, Two Friends, and an Idiot",6.3,12/16/1975,117,"Comedy, Western"
4857,The Magician,7.4,12/26/1958,101,Drama
4858,Dust Devil,6.4,7/11/1992,103,"Horror, Mystery, Thriller"
4859,Kai Po Che!,6.9,2/13/2013,126,Drama
4860,Last Year's Snow Was Falling,7.4,12/31/1983,20,"Animation, Comedy, Family, Fantasy"
4861,The Wizard of Lies,6.6,5/11/2017,133,"Crime, Drama, History, Thriller, TV Movie"
4862,The Immortal Wars: Resurgence,6.0,12/13/2019,112,"Action, Science Fiction"
4863,The Boxtrolls,6.7,9/10/2014,97,"Animation, Comedy, Family, Fantasy"
4864,Sukiyaki Western Django,6.3,9/15/2007,121,"Adventure, Action, Comedy, Western, Thriller"
4865,Pretty Princess,5.3,12/3/1993,105,"Comedy, Romance, Family"
4866,Operation Seawolf,5.9,10/7/2022,86,"War, Thriller, Action, Adventure, Mystery, Science Fiction, Drama"
4867,Parallel Mothers,6.8,10/8/2021,123,Drama
4868,In My Skin,6.0,12/4/2002,93,"Drama, Horror"
4869,Good Neighbours,5.5,6/3/2011,99,"Thriller, Drama"
4870,Beijing Bicycle,6.8,1/25/2002,113,Drama
4871,The Basketball Diaries,7.4,4/21/1995,102,"Drama, Crime"
4872,Fly Me Away,6.9,5/19/2021,93,"Comedy, Drama"
4873,The Face Reader,6.9,9/11/2013,140,"Drama, History"
4874,Heart of Dragon,6.8,9/14/1985,91,"Action, Comedy, Crime, Drama, Thriller"
4875,Lady in the Water,5.5,7/20/2006,110,"Drama, Fantasy, Mystery"
4876,Octopussy,6.3,6/5/1983,131,"Adventure, Action, Thriller"
4877,Thugs of Hindostan,5.8,11/7/2018,164,"Adventure, Action"
4878,Cream Horn,5.8,9/11/1981,109,Comedy
4879,WWE Day 1 2022,7.2,1/1/2022,170,"Action, Drama"
4880,Priceless,7.1,10/14/2016,97,"Drama, Romance, Crime"
4881,After Life,7.1,9/11/1998,118,"Fantasy, Drama"
4882,Road to Bali,6.2,1/29/1953,91,Comedy
4883,27: Gone Too Soon,5.9,3/26/2018,70,Documentary
4884,Horrible Histories: The Movie - Rotten Romans,5.1,7/26/2019,92,"Comedy, Family, Adventure"
4885,Noroi: The Curse,6.8,8/20/2005,115,"Horror, Mystery, Thriller"
4886,The Guest Room,6.0,1/4/2021,86,"Thriller, Horror, Drama"
4887,Cose da pazzi,7.1,3/25/2005,90,Comedy
4888,Friday the 13th Part 2,6.1,5/1/1981,86,Horror
4889,Bushwhacked,5.3,8/4/1995,90,"Adventure, Family, Comedy, Action"
4890,Always Be My Maybe,6.6,5/31/2019,102,"Romance, Comedy"
4891,Au Revoir les Enfants,7.5,10/7/1987,105,"Drama, War"
4892,The Fast and the Furious: Tokyo Drift,6.5,6/3/2006,104,"Action, Crime, Drama, Thriller"
4893,"Like Father, Like Son",7.7,9/28/2013,120,Drama
4894,Blackout,5.4,5/28/2008,85,"Horror, Thriller"
4895,Dater's Handbook,5.8,1/30/2016,84,"Comedy, Drama, Romance, TV Movie"
4896,Outlaws,6.9,10/8/2021,125,Crime
4897,Vengeance of an Assassin,6.5,11/13/2014,89,"Thriller, Action"
4898,The Transporter,6.7,10/2/2002,92,"Action, Crime, Thriller"
4899,Eat Pray Love,6.2,8/12/2010,133,"Drama, Romance"
4900,Utopia,5.7,10/17/1951,82,Comedy
4901,Doom Asylum,5.3,3/2/1988,79,"Horror, Comedy"
4902,Marighella,7.8,1/29/2021,155,"Drama, History, Thriller, Action"
4903,Dead Souls,4.6,10/11/2012,93,Horror
4904,Greenberg,5.9,3/26/2010,107,"Comedy, Drama, Romance"
4905,Lamb,6.5,8/12/2021,106,"Drama, Fantasy, Horror"
4906,Obsessed,6.9,5/14/2014,132,Drama
4907,The Long Dumb Road,5.5,11/9/2018,90,Comedy
4908,Jurassic World,6.7,6/6/2015,124,"Action, Adventure, Science Fiction, Thriller"
4909,The Unbearable Weight of Massive Talent,6.8,4/20/2022,107,"Action, Comedy, Crime"
4910,The Virginity Hit,4.6,9/24/2010,120,Comedy
4911,The Hard Corps,6.1,8/15/2006,110,"Action, Thriller"
4912,The Rookie,5.9,12/7/1990,120,"Action, Crime, Drama, Thriller"
4913,The Barber,5.6,3/27/2015,95,Thriller
4914,Samson,5.7,2/16/2018,110,"Action, Drama, Adventure"
4915,The Castle,7.1,4/10/1997,85,"Drama, Comedy"
4916,Miss & Mrs. Cops,7.1,5/9/2019,107,"Action, Comedy, Mystery"
4917,The Sleeping Voice,6.8,10/21/2011,119,"Drama, History"
4918,7 Seconds,5.5,6/28/2005,96,"Action, Crime, Thriller"
4919,100 Degrees Below Zero,4.4,3/29/2013,88,"Action, Science Fiction"
4920,Yes Man,6.7,12/9/2008,104,"Comedy, Romance"
4921,The Deal,5.8,11/20/2008,98,Comedy
4922,Van Gogh,6.7,10/30/1991,158,Drama
4923,The Seven-Ups,6.4,12/14/1973,103,"Action, Thriller, Drama, Crime"
4924,Passport to Pimlico,6.7,10/26/1949,84,Comedy
4925,Wreck-It Ralph,7.3,11/1/2012,101,"Family, Animation, Comedy, Adventure"
4926,Mia and the White Lion,7.3,8/2/2018,98,"Adventure, Family, Drama"
4927,Wild Bill,5.7,12/1/1995,98,Western
4928,Point Break,5.9,12/3/2015,113,"Action, Adventure, Crime, Thriller"
4929,Gully Boy,7.4,2/14/2019,156,"Drama, Music"
4930,Rolling to You,6.5,3/14/2018,107,"Comedy, Romance"
4931,Godzilla Raids Again,5.9,4/24/1955,82,"Science Fiction, Horror, Action"
4932,High Heels,7.1,10/23/1991,114,"Comedy, Drama, Romance"
4933,Enough Said,6.7,9/18/2013,93,"Comedy, Drama, Romance"
4934,Jaws 3-D,4.5,7/22/1983,99,"Thriller, Horror"
4935,Heroes Shed No Tears,6.3,11/30/1984,93,"Action, War, Drama"
4936,Animas,5.0,10/5/2018,83,"Thriller, Drama, Horror"
4937,The Skeleton Key,6.6,7/29/2005,104,"Drama, Horror, Mystery, Thriller"
4938,Miss Congeniality,6.5,12/22/2000,111,"Comedy, Crime, Action"
4939,Born Yesterday,7.2,12/25/1950,103,"Comedy, Drama, Romance"
4940,Nothing Like the Holidays,6.4,12/12/2008,98,"Comedy, Drama, Romance"
4941,1BR,6.1,7/18/2019,90,"Thriller, Drama, Horror"
4942,20th Century Boys 1: Beginning of the End,6.8,8/19/2008,142,"Science Fiction, Adventure, Mystery"
4943,When We Leave,6.9,3/11/2010,119,"Drama, Family"
4944,Lava,7.3,10/10/2014,7,"Animation, Family"
4945,Hot Shots! Part Deux,6.5,5/21/1993,86,"Action, Comedy, War"
4946,A City of Sadness,7.3,10/21/1989,159,"Drama, History"
4947,Rebels of the Neon God,7.3,8/4/1994,106,"Drama, Crime"
4948,Assassin's Bullet,3.9,8/1/2012,91,"Action, Adventure, Thriller"
4949,Babylon 5: Thirdspace,6.7,7/17/1998,94,"Action, Science Fiction, Adventure"
4950,Drop Zone,5.6,12/8/1994,101,"Action, Thriller"
4951,A Date for Mad Mary,6.6,9/2/2016,82,"Romance, Drama, Comedy"
4952,Bank Error in Your Favour,5.5,4/8/2009,98,Comedy
4953,Treasure Island,6.5,8/17/1934,103,"Action, Adventure, Family"
4954,Doctor Who: Dark Water / Death in Heaven,8.0,11/8/2014,104,"Science Fiction, Drama, Mystery"
4955,Shirley Valentine,6.2,8/30/1989,108,"Romance, Comedy"
4956,Wishing Stairs,6.1,8/1/2003,97,Horror
4957,Clara,7.6,11/30/2018,106,"Science Fiction, Drama, Romance"
4958,Rocky IV,7.1,11/21/1985,91,Drama
4959,Special Features: Handsome,5.9,12/22/1983,95,Comedy
4960,The Devil Bat,5.3,12/13/1940,68,"Horror, Science Fiction"
4961,My One and Only,6.4,8/21/2009,108,"Comedy, Drama"
4962,The Asian Connection,4.1,5/13/2016,91,"Action, Crime"
4963,The Lady and the Reaper,6.9,10/1/2009,8,"Animation, Comedy"
4964,War-Gods of the Deep,4.8,5/26/1965,84,"Adventure, Fantasy, Science Fiction, Horror"
4965,The Adventures of Tintin,6.9,10/24/2011,107,"Adventure, Animation, Mystery"
4966,Quantum Apocalypse,3.7,2/24/2010,93,"Science Fiction, TV Movie, Mystery, Drama"
4967,Eyewitness,5.6,2/13/1981,103,Thriller
4968,Os Trapalhões e o Mágico de Oróz,5.7,12/5/1984,93,"Adventure, Comedy, Family, Fantasy, Music"
4969,Faults,6.6,3/6/2014,90,"Drama, Comedy, Crime"
4970,Coming Home,7.3,5/16/2014,111,"Drama, Romance"
4971,Accident,6.2,2/9/1967,105,"Crime, Drama, Romance"
4972,Broken Arrow,6.0,2/9/1996,108,"Action, Thriller, Adventure"
4973,The Rhythm Section,5.5,1/31/2020,109,"Action, Thriller"
4974,Abbott and Costello Meet the Invisible Man,6.5,4/12/1951,82,"Comedy, Science Fiction, Crime"
4975,The Misfits,6.9,2/1/1961,124,"Western, Drama, Romance"
4976,Cabin Fever: Patient Zero,5.0,2/5/2014,91,Horror
4977,Two Sons of Francisco,6.8,8/19/2005,132,"Drama, History, Music"
4978,Scooby-Doo! in Where's My Mummy?,7.5,12/13/2005,75,"Mystery, Animation, Family, Adventure, Comedy, Fantasy"
4979,Tetsuo II: Body Hammer,6.1,10/3/1992,81,"Science Fiction, Horror, Drama"
4980,The Last Days of American Crime,6.6,6/5/2020,149,"Action, Crime, Thriller"
4981,A Better Tomorrow III: Love and Death in Saigon,6.5,10/20/1989,114,"War, Action, Thriller"
4982,Twin Sitters,6.4,10/1/1994,93,"Comedy, Family, Thriller"
4983,WALL·E,8.1,6/22/2008,98,"Animation, Family, Science Fiction"
4984,Good Deeds,6.3,2/23/2012,111,"Comedy, Drama, Romance"
4985,Roald Dahl's The Witches,6.4,10/26/2020,106,"Family, Comedy, Fantasy, Horror"
4986,The Bonfire of the Vanities,5.5,12/21/1990,125,"Comedy, Drama"
4987,Silent Trigger,5.1,6/26/1996,93,"Drama, Action, Thriller"
4988,London Fields,5.1,9/20/2018,118,"Crime, Thriller"
4989,Woman in Chains,7.1,11/20/1968,106,"Drama, Romance"
4990,The Slammin' Salmon,5.8,12/11/2009,90,Comedy
4991,The Incredible Hulk,6.2,6/12/2008,114,"Science Fiction, Action, Adventure"
4992,Hercules in the Maze of the Minotaur,5.6,11/19/1994,90,"Adventure, Fantasy, TV Movie, Action"
4993,The Sandlot: Heading Home,5.7,5/1/2007,96,Family
4994,Cold Pursuit,5.8,2/7/2019,119,"Action, Crime, Thriller"
4995,A Chinese Odyssey Part One: Pandora's Box,7.5,1/21/1995,88,"Fantasy, Adventure, Comedy"
4996,Buffet Froid,7.1,12/19/1979,89,"Comedy, Crime"
4997,My Wife Is an Actress,6.1,1/14/2001,95,"Comedy, Romance"
4998,Long Shot,6.7,5/2/2019,125,"Comedy, Romance"
4999,Snatch,7.8,9/1/2000,103,"Crime, Comedy"
5000,By the Gun,4.4,9/28/2014,105,"Crime, Drama, Thriller"
5001,Meet the Parents,6.7,10/6/2000,108,"Comedy, Romance"
5002,The Mask,6.9,7/29/1994,101,"Romance, Comedy, Crime, Fantasy"
5003,The Living End,6.6,8/14/1992,85,"Comedy, Crime, Drama, Romance"
5004,The Lineup,7.1,6/11/1958,87,"Action, Crime, Drama, Thriller"
5005,Bros,6.9,9/30/2022,115,"Comedy, Romance"
5006,The Pick-up Artist,5.7,9/18/1987,81,"Romance, Comedy, Crime"
5007,Kebab Connection,6.6,4/21/2004,96,"Comedy, Action, Romance"
5008,Free State of Jones,6.7,6/24/2016,140,"Action, Drama, History, War"
5009,Disaster L.A.: The Last Zombie Apocalypse Begins Here,5.4,9/16/2014,82,"Action, Horror, Science Fiction"
5010,Air Doll,7.0,9/26/2009,112,"Drama, Fantasy"
5011,Frontier(s),6.1,7/1/2007,108,"Drama, Horror, Action, Thriller"
5012,The Endless,6.3,11/5/2017,112,"Science Fiction, Horror, Thriller"
5013,Messenger of Death,5.9,9/16/1988,91,"Action, Crime, Thriller"
5014,Transit,6.6,4/25/2018,102,Drama
5015,Fire,8.3,12/24/2020,120,"Action, Drama"
5016,The Feast,5.4,11/19/2021,93,"Horror, Thriller"
5017,Hot Bot,4.4,3/1/2016,86,"Comedy, Science Fiction"
5018,The Company Men,6.5,10/21/2010,104,Drama
5019,Russian Lolita,5.0,1/3/2007,93,Romance
5020,Goodnight Mommy,6.7,10/7/2014,100,"Horror, Drama, Thriller, Mystery"
5021,Bartkowiak,6.1,7/28/2021,91,"Action, Thriller"
5022,Is Anybody There?,6.2,4/17/2009,95,Drama
5023,The Magnificent Seven,6.4,9/14/2016,132,"Adventure, Action, Western"
5024,"Red, White & Royal Blue",8.2,7/27/2023,121,"Comedy, Romance"
5025,Poison,7.1,11/30/1951,85,Comedy
5026,On Guard,6.8,12/3/1997,128,"Adventure, Action, Drama"
5027,Bubble,7.4,2/14/2022,101,"Animation, Adventure, Science Fiction"
5028,Pop Redemption,5.9,6/5/2013,0,Comedy
5029,Atacama's 33,7.9,3/23/2011,86,Drama
5030,Vizontele,7.2,2/2/2001,110,"Comedy, Drama"
5031,Yi Yi,7.9,9/20/2000,173,Drama
5032,First Girl I Loved,6.3,10/18/2016,91,"Drama, Romance"
5033,Tickled,7.2,5/26/2016,92,Documentary
5034,A Good Person,7.0,3/23/2023,128,Drama
5035,Ode to My Father,7.4,12/17/2014,126,"Drama, War"
5036,Bat★21,6.3,7/21/1988,105,"Action, War"
5037,Adam Chaplin,6.0,8/11/2011,84,"Horror, Action, Crime"
5038,Pod,4.3,3/16/2015,76,"Horror, Mystery, Thriller"
5039,Billboard Dad,6.1,2/6/1998,87,"Comedy, Family, TV Movie"
5040,"Bo Burnham: Words, Words, Words",7.2,10/16/2010,62,Comedy
5041,San Andreas Quake,4.3,5/19/2015,90,"Action, Science Fiction, TV Movie"
5042,Truth or Dare,5.5,8/5/2012,95,"Horror, Thriller, Mystery"
5043,Barbie and the Three Musketeers,7.2,9/15/2009,81,"Animation, Family"
5044,What a Crush,5.6,3/2/2018,113,Comedy
5045,Hannah,5.8,9/10/2017,95,Drama
5046,Easy Street,7.1,1/22/1917,26,"Comedy, Action"
5047,Bionicle: The Legend Reborn,5.7,8/24/2009,80,"Action, Adventure, Animation, Family, Science Fiction"
5048,Alucarda,6.4,12/26/1977,78,Horror
5049,Down Periscope,6.3,3/1/1996,92,Comedy
5050,Soul Survivors,4.5,9/6/2001,84,"Horror, Mystery, Thriller"
5051,The Gauntlet,6.6,12/17/1977,109,"Drama, Action, Crime, Thriller"
5052,The Maltese Falcon,7.7,10/18/1941,100,"Mystery, Crime, Thriller"
5053,Damage,6.5,10/5/2009,102,"Action, Thriller, Drama"
5054,Hellbender,5.6,9/28/2021,83,Horror
5055,The Cat in the Hat,5.3,11/21/2003,81,"Comedy, Adventure, Family, Fantasy"
5056,The Villainess,6.8,6/8/2017,129,"Action, Drama, Crime, Thriller, Adventure"
5057,Career Girls,6.7,6/1/1997,83,Drama
5058,"Planes, Trains and Automobiles",7.2,11/26/1987,93,Comedy
5059,Woodstock,7.5,3/26/1970,225,"Documentary, History, Music"
5060,Witches in the Woods,5.6,8/14/2019,90,"Horror, Mystery, Thriller"
5061,Guilty as Sin,5.7,6/4/1993,107,"Drama, Mystery, Thriller"
5062,Miami Bici,7.3,2/21/2020,98,Comedy
5063,Skhizein,7.5,6/9/2008,13,"Drama, Animation"
5064,Summer Things,5.9,3/4/2002,103,"Comedy, Drama, Romance"
5065,The Martian,7.7,9/30/2015,141,"Drama, Adventure, Science Fiction"
5066,Calculator,4.7,12/18/2014,83,"Thriller, Science Fiction, Action, Drama"
5067,Sex with Love,6.6,3/27/2003,108,"Comedy, Romance"
5068,Can You Ever Forgive Me?,6.8,10/19/2018,107,"Drama, Crime, Comedy"
5069,Arizona,5.5,8/24/2018,85,"Comedy, Thriller"
5070,The Last Warrior,6.0,1/18/2018,105,"Action, Drama, Fantasy, History, Adventure"
5071,The Full Monty,7.0,8/13/1997,91,Comedy
5072,Spielberg,7.6,10/5/2017,147,"Documentary, TV Movie"
5073,Beckett,6.3,8/4/2021,109,"Crime, Mystery, Thriller"
5074,One Wild Moment,5.8,6/24/2015,105,"Drama, Romance"
5075,Up in Smoke,6.7,5/16/1978,86,Comedy
5076,The Lady in the Car with Glasses and a Gun,5.1,8/5/2015,93,"Thriller, Drama, Crime, Mystery"
5077,Speechless,5.8,12/16/1994,99,"Romance, Comedy"
5078,Clouds of Sils Maria,6.6,8/20/2014,124,Drama
5079,Phobia 2,6.2,9/9/2009,125,"Thriller, Horror"
5080,Superman/Shazam!: The Return of Black Adam,7.1,11/16/2010,25,"Animation, Action"
5081,Raining Stones,6.9,9/9/1993,90,"Drama, Crime"
5082,The Dark Tower,5.7,8/3/2017,95,"Fantasy, Action, Science Fiction"
5083,Miss Meadows,5.7,9/12/2014,88,Drama
5084,Pan,6.0,9/24/2015,111,"Fantasy, Adventure, Family, Action"
5085,Megalodon Rising,6.1,8/27/2021,86,"Action, Science Fiction"
5086,Mothlight,5.8,12/2/1963,4,Animation
5087,Madame Claude,5.7,4/2/2021,112,"Crime, Drama, Romance"
5088,Somers Town,6.8,8/22/2008,71,"Comedy, Drama"
5089,Headwinds,5.8,12/14/2011,91,"Drama, Mystery"
5090,The Treasure of the Sierra Madre,8.0,1/15/1948,126,"Adventure, Drama, Western"
5091,Just Visiting,4.7,4/6/2001,88,"Comedy, Fantasy, Science Fiction"
5092,Gregory's Girl,6.7,4/23/1981,91,"Comedy, Romance"
5093,The Three Musketeers,6.7,10/19/1948,125,"Action, Adventure, Drama, Romance"
5094,"Literally, Right Before Aaron",4.9,4/22/2017,97,"Drama, Comedy"
5095,Lady Macbeth,6.6,12/12/2016,86,Drama
5096,Horsehead,5.3,9/7/2014,89,"Fantasy, Horror"
5097,We Steal Secrets: The Story of WikiLeaks,6.6,5/24/2013,127,Documentary
5098,Modern Problems,5.4,12/25/1981,89,"Comedy, Science Fiction, Romance"
5099,When a Stranger Calls Back,5.7,4/4/1993,94,"Horror, Thriller, TV Movie"
5100,Lupin III: The First,7.4,12/6/2019,93,"Adventure, Action, Animation"
5101,Cry_Wolf,5.8,9/16/2005,90,"Horror, Thriller"
5102,The Man Who Challenged the Devil,6.9,9/28/2007,106,"Comedy, Drama"
5103,Shadows in the Sun,6.4,5/12/2005,100,"Drama, Comedy, Romance"
5104,Je Tu Il Elle,6.5,12/31/1974,86,"Drama, Romance"
5105,Sentinelle,5.9,3/5/2021,80,"Thriller, Action, Drama"
5106,We're So Young,6.7,5/3/2013,104,"Drama, Music"
5107,Behind the Curve,6.3,4/30/2018,96,Documentary
5108,Flight of the Living Dead,5.0,4/6/2007,89,"Horror, Action"
5109,"Where'd You Go, Bernadette",6.6,8/16/2019,109,"Drama, Comedy, Adventure"
5110,Father of the Year,5.4,7/20/2018,94,Comedy
5111,I'm Back,5.9,2/1/2018,92,"Comedy, Drama"
5112,All About Yves,5.2,5/23/2019,107,Comedy
5113,See for Me,6.1,1/7/2022,92,Thriller
5114,From Afar,6.1,1/21/2016,93,Drama
5115,The Boat,5.4,2/22/2019,89,"Thriller, Mystery, Horror"
5116,Irati,6.6,2/24/2023,112,"Drama, Adventure, Fantasy"
5117,Ri¢hie Ri¢h,5.9,12/19/1994,95,"Comedy, Family"
5118,Delibal,7.3,12/25/2015,117,"Romance, Drama"
5119,5150 Elm's Way,6.3,10/9/2009,110,"Drama, Horror, Thriller"
5120,The Haunting in Connecticut 2: Ghosts of Georgia,5.9,2/1/2013,101,"Horror, Drama, Thriller"
5121,"Endings, Beginnings",6.2,6/24/2020,110,"Romance, Drama"
5122,A Bad Moms Christmas,6.3,8/4/2017,104,Comedy
5123,Christmas with the Kranks,6.1,11/24/2004,99,"Comedy, Family"
5124,Riddick,6.3,9/2/2013,119,"Science Fiction, Action, Thriller"
5125,Ema,6.7,9/26/2019,107,Drama
5126,Coming to America,6.9,6/29/1988,117,"Comedy, Romance"
5127,The Manny,6.3,3/26/2015,110,Comedy
5128,Madeline's Madeline,5.8,8/10/2018,94,Drama
5129,My Cousin,5.4,9/30/2020,107,Comedy
5130,Lust Stories,6.3,6/15/2018,120,"Drama, Romance"
5131,Too Shy to Try,6.4,8/23/1978,88,"Romance, Comedy"
5132,Guess Who,6.0,3/25/2005,105,"Comedy, Romance"
5133,Close to the Horizon,7.9,10/10/2019,117,"Drama, Romance"
5134,Gerald McBoing-Boing,6.6,11/2/1950,8,"Animation, Comedy, Family"
5135,At First Sight,6.0,1/15/1999,128,"Drama, Romance"
5136,13th,7.9,10/7/2016,100,Documentary
5137,Hoodwinked Too! Hood VS. Evil,5.1,4/29/2011,86,"Comedy, Animation, Family"
5138,Koyaanisqatsi,7.9,8/24/1983,86,Documentary
5139,The Disappearance of Eleanor Rigby: Them,6.1,5/14/2014,119,Drama
5140,Bandits,6.3,10/12/2001,123,"Comedy, Crime"
5141,"Hi, Mom!",6.4,4/27/1970,87,"Comedy, Crime"
5142,Upside Down,6.3,9/27/2012,104,"Romance, Science Fiction, Drama, Fantasy"
5143,War of the Worlds: The Attack,5.3,4/21/2023,87,"Science Fiction, Mystery, Thriller"
5144,Infection,6.7,8/11/2019,95,"Horror, Thriller"
5145,Un Natale con i fiocchi,5.3,12/25/2012,0,"Comedy, TV Movie"
5146,Maps to the Stars,6.2,5/21/2014,112,Drama
5147,Cop Out,5.6,2/26/2010,107,"Action, Comedy, Crime"
5148,Matchstick Men,7.0,9/12/2003,116,"Comedy, Drama, Crime, Thriller"
5149,Fletch Lives,6.0,3/17/1989,95,"Comedy, Crime, Mystery"
